StartCP,FinishCP,Distance,Height_Gain
Finish,E9U,2.924,102.23303
Finish,Start,4.811,137.01108
Start,CP1,3.35,73.881165
Start,CP2,2.492,45.003967
Start,CP3,1.7,63.561554
Start,CP4,4.512,109.45383
Start,CP5,0.857,13.802185
Start,CP6,3.986,43.554504
Start,CP7,3.744,70.92746
Start,E1,3.791,146.22879
Start,E10U,6.031,177.95233
Start,E2R,4.556,154.06677
Start,E3,6.79,70.56061
Start,E4R,4.393,78.63193
Start,E5,4.335,43.222633
Start,E6,2.571,18.698471
Start,E7U,3.308,106.11389
Start,E8,4.633,23.444244
Start,E9U,1.887,26.644714
Start,Finish,4.811,69.52707
