StartCP,FinishCP,Distance,Height_Gain
E6,Finish,8.206,224.3453
E6,Start,2.511,131.77132
E7U,CP1,10.038,256.02798
E7U,CP2,8.487,241.37152
E7U,CP3,6.751,228.61023
E7U,CP4,0.473,44.57132
E7U,CP5,4.507,139.13629
E7U,CP6,6.055,112.468346
E7U,CP7,10.496,257.0613
E7U,E1,10.994,288.16626
E7U,E10U,11.861,345.1745
E7U,E2R,9.61,318.3878
E7U,E3,8.22,123.902626
E7U,E4R,6.59,140.22617
E7U,E5,5.169,56.940773
E7U,E6,2.562,37.003403
E7U,E8,1.562,5.496788
E7U,E9U,7.192,186.07724
E7U,Finish,10.171,227.28336
E7U,Start,5.073,168.77472
E8,CP1,9.48,287.8257
E8,CP2,7.66,270.17456
E8,CP3,6.352,249.77711
E8,CP4,2.035,187.24516
E8,CP5,4.109,160.30318
E8,CP6,5.149,125.021645
E8,CP7,9.938,288.85904
E8,E1,10.436,319.964
E8,E10U,10.955,357.7278
E8,E2R,9.212,339.5547
E8,E3,7.314,136.45593
E8,E4R,5.684,152.77948
E8,E5,4.264,69.49407
E8,E6,2.164,58.170288
E8,E7U,1.562,142.67384
E8,E9U,6.286,198.63052
E8,Finish,9.265,239.83664
E8,Start,4.675,189.9416
E9U,CP1,3.194,89.19519
E9U,CP2,1.373,71.54404
E9U,CP3,2.934,108.191284
E9U,CP4,7.665,232.55582
E9U,CP5,5.177,109.55969
E9U,CP6,1.137,1.0940704
E9U,CP7,3.652,90.228516
E9U,E1,4.15,121.333466
E9U,E10U,5.952,196.97052
E9U,E2R,3.051,162.6069
E9U,E3,5.835,80.50983
E9U,E4R,2.123,40.58156
E9U,E5,2.023,1.4035339
E9U,E6,5.227,91.33672
E9U,E7U,7.192,187.9845
E9U,E8,6.286,63.360733
E9U,Finish,4.722,96.54245
E9U,Start,4.611,108.191284
Finish,CP1,1.528,71.77464
Finish,CP2,3.524,119.59468
Finish,CP3,4.816,153.24724
Finish,CP4,10.643,295.68762
Finish,CP5,7.059,154.61565
Finish,CP6,5.859,119.562225
Finish,CP7,1.07,59.458237
Finish,E1,1.564,91.72777
Finish,E10U,1.7,118.531296
Finish,E2R,4.933,207.66286
Finish,E3,2.002,0.9043884
Finish,E4R,6.844,159.04971
Finish,E5,5.764,76.679794
Finish,E6,8.206,154.46854
Finish,E7U,10.171,251.1163
Finish,E8,9.265,126.49255
Finish,E9U,4.722,118.468155
Finish,Start,6.493,153.24724
Start,CP1,4.965,87.253265
Start,CP2,3.414,72.5968
Start,CP3,1.677,59.83551
Start,CP4,5.546,178.53229
Start,CP5,0.566,1.3684082
Start,CP6,5.748,72.56435
Start,CP7,5.423,88.28659
Start,E1,5.921,119.39154
Start,E10U,7.723,195.0286
Start,E2R,4.537,149.61307
Start,E3,8.363,118.54574
Start,E4R,6.734,112.051834
Start,E5,5.312,51.583885
Start,E6,2.511,3.2478333
Start,E7U,5.073,133.96097
Start,E8,4.675,17.950798
Start,E9U,4.611,71.470276
Start,Finish,6.493,94.600525
